Date,Deaths
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,6
2020-03-03,7
2020-03-04,11
2020-03-05,12
2020-03-06,14
2020-03-07,17
2020-03-08,21
2020-03-09,22
2020-03-10,28
2020-03-11,36
2020-03-12,40
2020-03-13,47
2020-03-14,54
2020-03-15,63
2020-03-16,85
2020-03-17,108
2020-03-18,118
2020-03-19,200
2020-03-20,244
2020-03-21,307
2020-03-22,417
2020-03-23,557
2020-03-24,706
2020-03-25,942
2020-03-26,1209
2020-03-27,1581
2020-03-28,2026
2020-03-29,2467
2020-03-30,2978
2020-03-31,3873
2020-04-01,4757
2020-04-02,5926
2020-04-03,7087
2020-04-04,8407
2020-04-05,9619
2020-04-06,10783
2020-04-07,12722
2020-04-08,14695
