Date,Deaths
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,1
3/1/2020,1
3/2/2020,6
3/3/2020,7
3/4/2020,11
3/5/2020,12
3/6/2020,14
3/7/2020,17
3/8/2020,21
3/9/2020,22
3/10/2020,28
3/11/2020,36
3/12/2020,40
3/13/2020,47
3/14/2020,54
3/15/2020,63
3/16/2020,85
3/17/2020,108
3/18/2020,118
3/19/2020,200
3/20/2020,244
3/21/2020,307
3/22/2020,417
3/23/2020,557
3/24/2020,706
3/25/2020,942
3/26/2020,1209
3/27/2020,1581
3/28/2020,2026
3/29/2020,2467
3/30/2020,2978
3/31/2020,3873
4/1/2020,4757
4/2/2020,5926
4/3/2020,7087
4/4/2020,8407
4/5/2020,9619
4/6/2020,10783
4/7/2020,12722
4/8/2020,14695
